user_id,item_list
1,"Rear Window (1954)|userCF_rec;Lawrence of Arabia (1962)|userCF_rec;Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Four Rooms (1995)|manual_rec;Casablanca (1942)|userCF_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Close Shave, A (1995)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;Secrets & Lies (1996)|userCF_rec;Singin' in the Rain (1952)|userCF_rec;Chinatown (1974)|userCF_rec;M (1931)|userCF_rec;To Kill a Mockingbird (1962)|hotest_rec;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec"
2,"Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Rear Window (1954)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec;Four Rooms (1995)|manual_rec;Casablanca (1942)|userCF_rec;Get Shorty (1995)|manual_rec;Psycho (1960)|userCF_rec;Copycat (1995)|manual_rec;Close Shave, A (1995)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;North by Northwest (1959)|userCF_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Mr. Smith Goes to Washington (1939)|userCF_rec;Manchurian Candidate, The (1962)|userCF_rec"
3,"To Kill a Mockingbird (1962)|userCF_rec;Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Schindler's List (1993)|hotest_rec;As Good As It Gets (1997)|userCF_rec;Get Shorty (1995)|manual_rec;Casablanca (1942)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Amadeus (1984)|userCF_rec;Rear Window (1954)|hotest_rec;Raging Bull (1980)|userCF_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;Copycat (1995)|manual_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Close Shave, A (1995)|userCF_rec;Manchurian Candidate, The (1962)|userCF_rec;It's a Wonderful Life (1946)|userCF_rec;North by Northwest (1959)|userCF_rec;Sunset Blvd. (1950)|userCF_rec"
4,"Toy Story (1995)|manual_rec;L.A. Confidential (1997)|userCF_rec;Rear Window (1954)|userCF_rec;Fargo (1996)|userCF_rec;To Kill a Mockingbird (1962)|userCF_rec;North by Northwest (1959)|userCF_rec;Wizard of Oz, The (1939)|userCF_rec;Schindler's List (1993)|hotest_rec;GoldenEye (1995)|manual_rec;In the Name of the Father (1993)|userCF_rec;Four Rooms (1995)|manual_rec;Vertigo (1958)|userCF_rec;Good Will Hunting (1997)|userCF_rec;Casablanca (1942)|userCF_rec;Get Shorty (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;Copycat (1995)|manual_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec"
5,"Schindler's List (1993)|hotest_rec;Bridge on the River Kwai, The (1957)|userCF_rec;Toy Story (1995)|manual_rec;Godfather, The (1972)|userCF_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Maltese Falcon, The (1941)|userCF_rec;Get Shorty (1995)|manual_rec;Lawrence of Arabia (1962)|userCF_rec;Copycat (1995)|manual_rec;Casablanca (1942)|hotest_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Rosencrantz and Guildenstern Are Dead (1990)|userCF_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Pulp Fiction (1994)|userCF_rec;Some Folks Call It a Sling Blade (1993)|userCF_rec;Ran (1985)|userCF_rec;Secrets & Lies (1996)|userCF_rec;Eat Drink Man Woman (1994)|userCF_rec"
6,"Toy Story (1995)|manual_rec;Rear Window (1954)|userCF_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Manchurian Candidate, The (1962)|userCF_rec;Laura (1944)|userCF_rec;Copycat (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Casablanca (1942)|hotest_rec;Shawshank Redemption, The (1994)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Shall We Dance? (1996)|userCF_rec;Clockwork Orange, A (1971)|userCF_rec;Waiting for Guffman (1996)|userCF_rec;Harold and Maude (1971)|userCF_rec;Chinatown (1974)|userCF_rec;Henry V (1989)|userCF_rec;Paths of Glory (1957)|userCF_rec"
7,"Schindler's List (1993)|hotest_rec;Some Folks Call It a Sling Blade (1993)|userCF_rec;Toy Story (1995)|manual_rec;Casablanca (1942)|hotest_rec;Lone Star (1996)|userCF_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Close Shave, A (1995)|userCF_rec;Godfather, The (1972)|hotest_rec;Leaving Las Vegas (1995)|userCF_rec;Paradise Lost: The Child Murders at Robin Hood Hills (1996)|userCF_rec;Kolya (1996)|userCF_rec;Singin' in the Rain (1952)|userCF_rec;Belle de jour (1967)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec;As Good As It Gets (1997)|userCF_rec"
8,"One Flew Over the Cuckoo's Nest (1975)|userCF_rec;Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec;Schindler's List (1993)|hotest_rec;Casablanca (1942)|hotest_rec;12 Angry Men (1957)|userCF_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Amadeus (1984)|userCF_rec;Citizen Kane (1941)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec;Raise the Red Lantern (1991)|userCF_rec"
9,"Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Get Shorty (1995)|manual_rec;Casablanca (1942)|hotest_rec;12 Angry Men (1957)|userCF_rec;Cinema Paradiso (1988)|userCF_rec;Copycat (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Raiders of the Lost Ark (1981)|userCF_rec;Godfather: Part II, The (1974)|userCF_rec;Usual Suspects, The (1995)|hotest_rec;Wrong Trousers, The (1993)|userCF_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;Silence of the Lambs, The (1991)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Godfather, The (1972)|hotest_rec;L.A. Confidential (1997)|userCF_rec"
10,"Toy Story (1995)|manual_rec;Schindler's List (1993)|userCF_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Casablanca (1942)|hotest_rec;To Kill a Mockingbird (1962)|userCF_rec;Get Shorty (1995)|manual_rec;Henry V (1989)|userCF_rec;Copycat (1995)|manual_rec;Shall We Dance? (1996)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;Mr. Smith Goes to Washington (1939)|userCF_rec;Rebecca (1940)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec;Raise the Red Lantern (1991)|userCF_rec;Close Shave, A (1995)|userCF_rec;As Good As It Gets (1997)|userCF_rec"
